host_time,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mx_uT,my_uT,mz_uT,temp_C,press_hPa,alt_m
2026-07-01 13:56:51,619152,0.036,-1.014,-0.044,-2.000,0.313,0.344,-19.36,25.07,15.01,26.50,998.49,123.62
2026-07-01 13:56:51,619367,0.039,-1.017,-0.047,-2.595,0.084,0.336,-19.52,24.93,15.15,26.50,998.58,122.86
2026-07-01 13:56:52,619582,0.037,-1.015,-0.054,-2.427,0.107,0.282,-19.33,24.75,15.39,26.50,998.55,123.11
2026-07-01 13:56:52,619797,0.042,-1.014,-0.055,-2.496,0.069,0.382,-19.33,24.64,15.20,26.40,998.46,123.87
2026-07-01 13:56:52,620012,0.035,-1.019,-0.058,-2.679,0.008,0.252,-19.49,24.77,14.80,26.50,998.55,123.11
2026-07-01 13:56:52,620227,0.040,-1.016,-0.051,-2.183,0.061,0.427,-19.28,24.96,15.39,26.50,998.52,123.37
2026-07-01 13:56:52,620442,0.044,-1.016,-0.058,-2.405,0.145,0.450,-19.49,24.45,15.23,26.50,998.55,123.11
2026-07-01 13:56:53,620657,0.043,-1.018,-0.054,-2.817,0.145,0.344,-19.55,24.35,15.49,26.50,998.52,123.37
2026-07-01 13:56:53,620872,0.042,-1.018,-0.057,-2.221,0.122,0.122,-19.55,25.01,15.09,26.50,998.46,123.87
2026-07-01 13:56:53,621087,0.038,-1.021,-0.060,-2.229,0.206,0.031,-19.17,24.83,15.65,26.50,998.46,123.87
2026-07-01 13:56:53,621302,0.037,-1.020,-0.056,-2.611,0.237,0.344,-19.23,24.77,15.47,26.50,998.46,123.87
2026-07-01 13:56:53,621517,0.036,-1.024,-0.061,-2.305,0.221,0.260,-19.12,25.33,15.33,26.50,998.49,123.62
2026-07-01 13:56:54,621732,0.039,-1.019,-0.061,-2.855,0.282,0.374,-19.47,25.25,14.93,26.50,998.46,123.87
2026-07-01 13:56:54,621947,0.040,-1.021,-0.051,-2.534,0.084,0.427,-19.36,25.47,14.77,26.50,998.43,124.12
2026-07-01 13:56:54,622162,0.038,-1.026,-0.054,-1.977,-0.015,0.267,-19.28,24.83,15.04,26.50,998.52,123.37
2026-07-01 13:56:54,622377,0.035,-1.023,-0.052,-2.405,0.252,0.298,-19.57,25.09,15.33,26.50,998.58,122.86
2026-07-01 13:56:55,622592,0.036,-1.021,-0.053,-2.511,0.092,0.244,-19.28,24.88,15.25,26.50,998.61,122.61
2026-07-01 13:56:55,622807,0.037,-1.022,-0.047,-2.145,-0.015,0.328,-19.44,24.75,14.96,26.50,998.40,124.38
2026-07-01 13:56:55,623022,0.038,-1.010,-0.057,-2.580,0.160,0.244,-19.68,24.61,14.99,26.50,998.55,123.11
2026-07-01 13:56:55,623237,0.041,-1.019,-0.045,-2.809,0.153,0.351,-19.55,24.96,15.39,26.50,998.52,123.37
2026-07-01 13:56:55,623452,0.039,-1.019,-0.054,-2.855,0.267,0.244,-19.36,25.39,14.88,26.50,998.49,123.62
2026-07-01 13:56:56,623667,0.045,-1.023,-0.061,-2.481,0.130,0.221,-19.49,25.39,15.36,26.50,998.52,123.37
2026-07-01 13:56:56,623882,0.033,-1.018,-0.056,-2.908,0.099,0.115,-19.49,25.84,14.37,26.50,998.40,124.38
2026-07-01 13:56:56,624097,0.042,-1.021,-0.057,-2.710,0.206,0.351,-19.31,24.93,15.04,26.50,998.58,122.86
2026-07-01 13:56:56,624312,0.037,-1.019,-0.044,-2.305,0.168,0.153,-19.49,25.15,15.25,26.50,998.43,124.12
2026-07-01 13:56:56,624527,0.031,-1.016,-0.062,-2.382,0.405,0.405,-19.68,25.25,15.01,26.50,998.52,123.37
2026-07-01 13:56:57,624742,0.040,-1.027,-0.060,-2.183,0.160,0.305,-19.71,24.83,14.80,26.50,998.55,123.11
2026-07-01 13:56:57,624957,0.039,-1.023,-0.060,-1.710,0.351,0.221,-19.39,24.75,15.31,26.50,998.52,123.37
2026-07-01 13:56:57,625172,0.036,-1.016,-0.049,-2.382,0.221,0.351,-19.49,25.28,15.20,26.50,998.46,123.87
2026-07-01 13:56:57,625387,0.032,-1.019,-0.052,-2.237,0.214,0.359,-19.41,24.69,14.69,26.50,998.46,123.87
2026-07-01 13:56:58,625602,0.041,-1.011,-0.048,-2.298,0.344,0.489,-19.33,24.83,15.25,26.50,998.46,123.87
2026-07-01 13:56:58,625817,0.039,-1.028,-0.044,-2.931,-0.038,0.466,-19.33,24.88,15.07,26.50,998.49,123.62
2026-07-01 13:56:58,626032,0.035,-1.013,-0.052,-2.740,0.176,0.366,-19.57,24.99,15.12,26.50,998.49,123.62
